epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3292.99,0.65746,0.45465,0.95581,0.94797,0.93635,0.97185,0.83317,0.5754,0.36497,0.92171,0.005842,0.005842,0.005842
44,3369.62,0.65039,0.44947,0.95325,0.9567,0.93776,0.97248,0.83426,0.57846,0.37104,0.92808,0.005743,0.005743,0.005743
45,3446.15,0.64097,0.44372,0.94506,0.94209,0.9339,0.96918,0.82944,0.58007,0.37958,0.91612,0.005644,0.005644,0.005644
46,3523.66,0.63937,0.4384,0.94702,0.95159,0.93607,0.9722,0.83934,0.56654,0.36451,0.91705,0.005545,0.005545,0.005545
47,3600.65,0.64085,0.43318,0.94666,0.95072,0.93773,0.97261,0.84029,0.56789,0.35754,0.91214,0.005446,0.005446,0.005446
48,3677.2,0.64399,0.44024,0.94654,0.9514,0.94582,0.97591,0.84116,0.56997,0.35301,0.91544,0.005347,0.005347,0.005347
49,3754.98,0.63546,0.43658,0.94642,0.94666,0.94171,0.97327,0.83581,0.57765,0.36539,0.92343,0.005248,0.005248,0.005248
50,3831.47,0.6331,0.4291,0.94503,0.95028,0.94317,0.97317,0.84371,0.56025,0.35717,0.91139,0.005149,0.005149,0.005149
51,3907.59,0.62742,0.42722,0.94312,0.95409,0.94115,0.97556,0.84472,0.56337,0.34926,0.91526,0.00505,0.00505,0.00505
52,3983.35,0.6223,0.41964,0.93713,0.95638,0.93981,0.97534,0.84464,0.56339,0.34863,0.91592,0.004951,0.004951,0.004951
53,4059.21,0.62506,0.42722,0.94211,0.95223,0.94614,0.97272,0.84243,0.56738,0.35063,0.92067,0.004852,0.004852,0.004852
54,4134.95,0.63249,0.42839,0.94485,0.95817,0.94621,0.97492,0.84272,0.56559,0.3511,0.91689,0.004753,0.004753,0.004753
55,4211.09,0.62083,0.4158,0.94004,0.95007,0.94526,0.97479,0.84523,0.5669,0.34662,0.9181,0.004654,0.004654,0.004654
56,4288.09,0.61254,0.41875,0.93851,0.9575,0.94128,0.9732,0.84033,0.56149,0.34248,0.91285,0.004555,0.004555,0.004555
57,4365.39,0.61453,0.41411,0.93753,0.95199,0.94296,0.97479,0.84508,0.5657,0.34799,0.91657,0.004456,0.004456,0.004456
58,4441.43,0.61386,0.40686,0.93673,0.95247,0.93791,0.97449,0.84366,0.56519,0.34937,0.91518,0.004357,0.004357,0.004357
59,4518.93,0.61673,0.4126,0.93995,0.96079,0.93378,0.97436,0.84558,0.55933,0.34654,0.91324,0.004258,0.004258,0.004258
60,4595.26,0.60695,0.40595,0.93148,0.95296,0.94463,0.97549,0.84652,0.55929,0.34186,0.91483,0.004159,0.004159,0.004159
61,4671.66,0.60389,0.40849,0.93114,0.9565,0.92739,0.97535,0.84429,0.55979,0.34147,0.91306,0.00406,0.00406,0.00406
62,4748.32,0.59796,0.39726,0.92616,0.95776,0.94451,0.97517,0.84623,0.56338,0.34021,0.91594,0.003961,0.003961,0.003961
63,4825.77,0.60367,0.40013,0.92946,0.95969,0.94117,0.97653,0.8464,0.56015,0.33664,0.91204,0.003862,0.003862,0.003862
64,4902.85,0.58934,0.38593,0.92193,0.95858,0.93844,0.9762,0.85126,0.55779,0.33664,0.91002,0.003763,0.003763,0.003763
65,4980.42,0.60335,0.39607,0.93012,0.9581,0.94354,0.97612,0.84913,0.55584,0.33424,0.91086,0.003664,0.003664,0.003664
66,5055.78,0.59922,0.39033,0.92837,0.95608,0.94752,0.97638,0.85223,0.55376,0.33173,0.90901,0.003565,0.003565,0.003565
67,5131.75,0.59604,0.38556,0.92533,0.95323,0.94416,0.97616,0.84658,0.55783,0.33563,0.90849,0.003466,0.003466,0.003466
68,5209.35,0.59135,0.38531,0.92273,0.96262,0.93908,0.97659,0.84945,0.55831,0.33019,0.90772,0.003367,0.003367,0.003367
69,5285.17,0.59269,0.38788,0.92482,0.95795,0.94721,0.97728,0.85136,0.5544,0.32849,0.90592,0.003268,0.003268,0.003268
70,5361.78,0.59351,0.37743,0.92286,0.95774,0.94579,0.97853,0.85032,0.55523,0.32584,0.90811,0.003169,0.003169,0.003169
71,5438.27,0.59154,0.38296,0.92449,0.95209,0.95221,0.97702,0.85118,0.55405,0.32875,0.90811,0.00307,0.00307,0.00307
72,5516,0.58485,0.37507,0.92082,0.9411,0.95431,0.97734,0.85035,0.55252,0.32396,0.90743,0.002971,0.002971,0.002971
73,5593.17,0.5838,0.36918,0.92118,0.95326,0.95056,0.97745,0.85189,0.55375,0.32388,0.90764,0.002872,0.002872,0.002872
74,5670.02,0.5728,0.36054,0.91244,0.95509,0.94992,0.97732,0.85281,0.55309,0.32366,0.90955,0.002773,0.002773,0.002773
75,5746.78,0.57493,0.3636,0.91699,0.95914,0.95057,0.9775,0.85492,0.55112,0.32107,0.9067,0.002674,0.002674,0.002674
76,5823.18,0.57519,0.36498,0.9153,0.9617,0.94351,0.97582,0.85432,0.55275,0.32612,0.9112,0.002575,0.002575,0.002575
77,5899.86,0.5697,0.35956,0.91156,0.96375,0.94163,0.97612,0.85345,0.55391,0.326,0.90928,0.002476,0.002476,0.002476
78,5978.2,0.56508,0.35961,0.91304,0.95853,0.9482,0.97655,0.85291,0.55275,0.32221,0.90671,0.002377,0.002377,0.002377
79,6054.91,0.56147,0.34685,0.91028,0.96612,0.93988,0.9763,0.85398,0.55121,0.32133,0.90705,0.002278,0.002278,0.002278
80,6131.33,0.56261,0.35274,0.91126,0.9591,0.93795,0.97668,0.85466,0.54867,0.32253,0.90352,0.002179,0.002179,0.002179
81,6208.68,0.56597,0.3519,0.9145,0.95919,0.9383,0.97657,0.85477,0.54791,0.3198,0.90413,0.00208,0.00208,0.00208
82,6285.15,0.56342,0.34796,0.90877,0.95511,0.94638,0.9764,0.85668,0.54786,0.32123,0.90517,0.001981,0.001981,0.001981
83,6362.13,0.56054,0.34573,0.91444,0.95523,0.94883,0.97638,0.85711,0.54672,0.31872,0.90372,0.001882,0.001882,0.001882
84,6439.64,0.55643,0.34275,0.90708,0.95419,0.94805,0.97744,0.85657,0.5491,0.31906,0.904,0.001783,0.001783,0.001783
85,6517.75,0.54888,0.33993,0.90211,0.95843,0.93981,0.97737,0.85508,0.55125,0.3197,0.90657,0.001684,0.001684,0.001684
86,6595.13,0.55059,0.33259,0.90195,0.96001,0.94193,0.97758,0.85644,0.55466,0.31937,0.90943,0.001585,0.001585,0.001585
87,6671.47,0.54686,0.33327,0.9045,0.95989,0.94257,0.97721,0.8582,0.55284,0.31549,0.90854,0.001486,0.001486,0.001486
88,6747.69,0.55233,0.33754,0.90759,0.95888,0.94447,0.97796,0.85789,0.55067,0.31312,0.90642,0.001387,0.001387,0.001387
89,6823.92,0.54507,0.32858,0.90681,0.95236,0.94823,0.97717,0.85835,0.55089,0.3142,0.9066,0.001288,0.001288,0.001288
90,6900.81,0.5456,0.33266,0.90437,0.94654,0.94762,0.9764,0.85932,0.55119,0.31638,0.9065,0.001189,0.001189,0.001189
91,7001.66,0.49778,0.2894,0.87907,0.94937,0.94954,0.9764,0.85566,0.5529,0.3141,0.90547,0.00109,0.00109,0.00109
92,7076.72,0.50183,0.2887,0.8829,0.95034,0.95089,0.97648,0.85528,0.55525,0.31648,0.90765,0.000991,0.000991,0.000991
93,7152.57,0.49372,0.27785,0.87948,0.95451,0.95104,0.97664,0.85599,0.55379,0.31657,0.90764,0.000892,0.000892,0.000892
94,7228.68,0.48877,0.27813,0.87895,0.9502,0.95257,0.97703,0.85639,0.55382,0.31543,0.90788,0.000793,0.000793,0.000793
95,7303.73,0.49391,0.27863,0.87929,0.94783,0.95173,0.97693,0.85521,0.55412,0.31423,0.90847,0.000694,0.000694,0.000694
96,7380.11,0.48185,0.27187,0.87449,0.95627,0.94305,0.97661,0.8561,0.55343,0.31557,0.90889,0.000595,0.000595,0.000595
97,7456.95,0.47792,0.2668,0.87608,0.95769,0.94155,0.9764,0.85625,0.55332,0.31706,0.90907,0.000496,0.000496,0.000496
98,7531.42,0.48111,0.2676,0.87426,0.94679,0.95524,0.97621,0.85604,0.55283,0.31804,0.9086,0.000397,0.000397,0.000397
99,7606.68,0.47926,0.2651,0.87507,0.95951,0.94478,0.97599,0.8546,0.5524,0.31926,0.90863,0.000298,0.000298,0.000298
100,7682.52,0.47723,0.26128,0.87272,0.95705,0.94522,0.97612,0.85543,0.55297,0.31967,0.90907,0.000199,0.000199,0.000199
